MeadowID,Date,Filter,Coleoptera larvae,Araneae,Opiliones,Isopoda,Amphipoda,Centipedes,Millipedes,Leatherjackets (tipulidae larven),Slugs (small),Slugs (large),Worms,Caterpillars,Other coleoptera,Grasshopper,Acari,Ants,Notities
100028,14/04/25,1,1,6,,,,,,,,,4,1,,,1,,
100028,14/04/25,2,1,9,,,,,,,1,,1,,,,1,1,
100028,14/04/25,3,4,19,,,,,,,1,2,3,,2,,3,2,
100028,14/04/25,4,2,26,,,,,,,,,4,,1,,7,,
100028,14/04/25,5,,16,,,,,,,2,,5,,2,,3,1,
129014,15/04/25,1,1,21,,,,,,,,,2,,1,,1,,
129014,15/04/25,2,1,6,,,,,,1,,,,,3,,1,,
129014,15/04/25,3,2,16,,,,,,,,,2,,1,,2,,
129014,15/04/25,4,2,18,,,,,,,,,,,2,,1,,
129014,15/04/25,5,,6,,,,,,,,,1,,2,,1,,1 pop gevonden
128006,16/04/25,1,,8,,,,,,,,1,,,,,8,2,
128006,16/04/25,2,,5,,,,,,,2,1,,,,,6,1,
128006,16/04/25,3,,9,,,,,,,1,1,,,,,5,1,
128006,16/04/25,4,,7,,,,,,,1,1,,,3,,5,6,
128006,16/04/25,5,1,19,,,,,,,3,1,,,,,3,1,
130005,16/04/25,1,,18,,,,,,,6,3,1,,1,,,6,
130005,16/04/25,2,,20,,,,,,,1,,,,,,,6,
130005,16/04/25,3,2,26,1,3,,,,,2,3,,,,,,7,
130005,16/04/25,4,3,7,,,,,,,,1,,,,,,7,
130005,16/04/25,5,,9,,,,,,,3,1,,,,,1,6,
143016,15/04/25,1,,36,,1,,,,,,,2,,10,,6,1,
143016,15/04/25,2,2,5,,,,,,,,,2,,3,,5,2,
143016,15/04/25,3,,7,,,,,,,1,,2,,4,,,,
143016,15/04/25,4,,18,,,,,,,,,,,4,,,5,
143016,15/04/25,5,,26,,1,,,,,,,4,,2,,,1,
143023,15/04/25,1,,11,1,,,,,,1,,2,,,,2,,"2 salamanders in monster, bewaard"
143023,15/04/25,2,,9,,,,,,,,1,1,,,,4,,
143023,15/04/25,3,,13,,,,,,,2,,1,1,,,2,,
143023,15/04/25,4,,14,1,,,,,,1,1,1,,,,,,
143023,15/04/25,5,,19,,,,,,,,,1,1,1,,2,1,
66024,14/04/25,1,2,24,,,,,,11,7,1,1,,5,,6,,
66024,14/04/25,2,3,18,,,,,,12,6,8,1,,5,,8,,
66024,14/04/25,3,3,24,,,,,,7,4,1,2,,13,,10,,
66024,14/04/25,4,1,6,,,,,,5,3,3,,,2,,7,,
66024,14/04/25,5,2,12,,,,,,3,3,1,1,,5,,6,,"1 huisjesslak, 1 onbekend, zie foto 5-6-24 11:05"
583045,15/04/25,1,2,1,,,,,,,,,2,,,,,,
583045,15/04/25,2,1,8,,,,,,,,,1,,,,,,
583045,15/04/25,3,3,6,,,,,,,,,1,,,,,1,
583045,15/04/25,4,2,5,,,,,,,,,1,,,,,,
583045,15/04/25,5,1,5,,,,,,,,,1,,,,,1,
162027,16/04/25,1,1,23,,,,,,,4,1,3,,1,,1,,
162027,16/04/25,2,1,15,,,,,,,1,,7,,4,,1,,
162027,16/04/25,3,2,36,,,,,,,1,1,3,,1,,1,,
162027,16/04/25,4,,19,,,,,,1,,1,3,,1,,,1,
162027,16/04/25,5,1,33,,,,,,,3,,3,,3,,1,,
162027,16/04/25,A,,1,,,,,,,,,,,,,,,
24063,15/04/25,1,5,21,,,,,,1,17,5,2,,2,,8,2,
24063,15/04/25,2,,39,,,,,,2,27,4,2,,5,,7,3,
24063,15/04/25,3,1,16,,,,,,,25,,,,5,,15,1,
24063,15/04/25,4,1,37,,,,,,1,29,,1,,14,,15,3,schildpadkever gevonden!
24063,15/04/25,5,,8,,,,,,1,23,,1,,4,,10,2,+ leeg slakkenhuis
24063,15/04/25,A,,1,,,,,,,,,,,,,,,
16086,14/04/25,1,1,13,,1,,,1,,,2,,,,,2,,
16086,14/04/25,2,,9,,,,,,,,,,,1,,3,2,
16086,14/04/25,3,1,12,,,,,,,,,,,3,,1,3,
16086,14/04/25,4,1,3,,,,,,,1,,,,,,3,2,
16086,14/04/25,5,,2,,,,,,,,,,,1,,,,
