MeadowID,Date,Filter,Familie/Geslacht,Soort,Lengte,Lengte (mm),Notities
129014,15/04/25,5,Amara,aenea,5.5,6.875,
130005,16/04/25,1,Amara,aenea,5.9,7.375,
143023,15/04/25,2,Harpalus,affinis,8.1,10.125,
66024,14/04/25,1,Pterostichus,anthracinus,9.3,11.625,
66024,14/04/25,2,Pterostichus,anthracinus,9,11.25,
66024,14/04/25,3,Pterostichus,anthracinus,9.6,12,
66024,14/04/25,4,Pterostichus,anthracinus,9,11.25,
24063,15/04/24,1,Pterostichus,anthracinus,9,11.25,
24063,15/04/24,1,Pterostichus,anthracinus,9.1,11.375,
24063,15/04/24,2,Pterostichus,anthracinus,8.8,11,
24063,15/04/24,3,Pterostichus,anthracinus,9,11.25,
24063,15/04/24,4,Pterostichus,anthracinus,9.2,11.5,
24063,15/04/24,4,Pterostichus,anthracinus,9.8,12.25,
143023,15/04/25,5,Anisodactilus,binotatus,8.8,11,
24063,15/04/24,4,Anisodactilus,binotatus,9.2,11.5,
128006,16/04/25,2,Poecilus,cupreus,9.4,11.75,
128006,16/04/25,4,Poecilus,cupreus,9.2,11.5,
128006,16/04/25,4,Poecilus,cupreus,9.9,12.375,
128006,16/04/25,5,Poecilus,cupreus,9.8,12.25,
143016,15/04/25,1,Poecilus,cupreus,9,11.25,
143016,15/04/25,1,Poecilus,cupreus,10.2,12.75,
143016,15/04/25,1,Poecilus,cupreus,10.4,13,
143016,15/04/25,1,Poecilus,cupreus,9,11.25,
143016,15/04/25,1,Poecilus,cupreus,10,12.5,
143016,15/04/25,1,Poecilus,cupreus,10.1,12.625,
143016,15/04/25,1,Poecilus,cupreus,10.1,12.625,
143016,15/04/25,1,Poecilus,cupreus,9.5,11.875,
143016,15/04/25,1,Poecilus,cupreus,10.4,13,
143016,15/04/25,3,Poecilus,cupreus,9.6,12,
143016,15/04/25,4,Poecilus,cupreus,9.1,11.375,
143016,15/04/25,5,Poecilus,cupreus,9.6,12,
143016,15/04/25,5,Poecilus,cupreus,9.7,12.125,
143023,15/04/25,2,Poecilus,cupreus,9.7,12.125,
143023,15/04/25,2,Poecilus,cupreus,10.2,12.75,
143023,15/04/25,2,Poecilus,cupreus,9.7,12.125,
143023,15/04/25,2,Poecilus,cupreus,9.7,12.125,
143023,15/04/25,2,Poecilus,cupreus,9.3,11.625,
143023,15/04/25,3,Poecilus,cupreus,9.2,11.5,
143023,15/04/25,3,Poecilus,cupreus,9.9,12.375,
143023,15/04/25,3,Poecilus,cupreus,9.7,12.125,
143023,15/04/25,3,Poecilus,cupreus,9.5,11.875,
143023,15/04/25,3,Poecilus,cupreus,10,12.5,
143023,15/04/25,3,Poecilus,cupreus,10.3,12.875,
143023,15/04/25,4,Poecilus,cupreus,10,12.5,
143023,15/04/25,5,Poecilus,cupreus,9.8,12.25,
143023,15/04/25,5,Poecilus,cupreus,9.4,11.75,
143023,15/04/25,5,Poecilus,cupreus,9.7,12.125,
143023,15/04/25,5,Poecilus,cupreus,9.7,12.125,
583045,15/04/24,2,Poecilus,cupreus,9.3,11.625,
583045,15/04/24,2,Poecilus,cupreus,10.1,12.625,
583045,15/04/24,4,Poecilus,cupreus,10,12.5,
16086,14/04/24,2,Poecilus,cupreus,9.3,11.625,
16086,14/04/24,3,Poecilus,cupreus,9.5,11.875,
143016,15/04/25,1,Acupalpus,exiguus,2.3,2.875,
143016,15/04/25,1,Acupalpus,exiguus,2.3,2.875,
143016,15/04/25,5,Amara,familiaris,4.9,6.125,
100028,14/04/25,3,Clivina,fossor,5,6.25,
129014,15/04/25,1,Clivina,fossor,4.5,5.625,
129014,15/04/25,2,Clivina,fossor,4.4,5.5,
162027,16/04/24,4,Clivina,fossor,4.7,5.875,
24063,15/04/24,2,Clivina,fossor,4.4,5.5,
16086,14/04/24,1,Clivina,fossor,4.9,6.125,
24063,15/04/24,1,Dyschirius,globosus,2.2,2.75,
24063,15/04/24,1,Dyschirius,globosus,2.3,2.875,
100028,14/04/25,2,Carabus,granulatus,,19,Gemeten in cm
100028,14/04/25,3,Carabus,granulatus,,18,Gemeten in cm
100028,14/04/25,4,Carabus,granulatus,,19,Gemeten in cm
100028,14/04/25,4,Carabus,granulatus,,20,Gemeten in cm
143023,15/04/25,2,Carabus,granulatus,,20,Gemeten in cm
66024,14/04/25,1,Carabus,granulatus,,18,Gemeten in cm
66024,14/04/25,3,Carabus,granulatus,,18,Gemeten in cm
66024,14/04/25,3,Carabus,granulatus,,17,Gemeten in cm
66024,14/04/25,5,Carabus,granulatus,,2,Gemeten in cm
583045,15/04/24,5,Carabus,granulatus,,17.5,Gemeten in cm
162027,16/04/24,2,Carabus,granulatus,,19,Gemeten in cm
24063,15/04/24,2,Carabus,granulatus,,17,Gemeten in cm
24063,15/04/24,2,Carabus,granulatus,,18,Gemeten in cm
24063,15/04/24,2,Carabus,granulatus,,19,Gemeten in cm
24063,15/04/24,2,Carabus,granulatus,,17,Gemeten in cm
24063,15/04/24,3,Carabus,granulatus,,18,Gemeten in cm
24063,15/04/24,3,Carabus,granulatus,,19,Gemeten in cm
24063,15/04/24,5,Carabus,granulatus,,20,Gemeten in cm
16086,14/04/24,5,Carabus,granulatus,,19,Gemeten in cm
100028,14/04/25,2,Bembidion,guttula,2.8,3.5,
100028,14/04/25,3,Bembidion,guttula,2.3,2.875,
100028,14/04/25,4,Bembidion,guttula,2.7,3.375,
100028,14/04/25,4,Bembidion,guttula,2.4,3,
100028,14/04/25,5,Bembidion,guttula,2.7,3.375,
100028,14/04/25,5,Bembidion,guttula,2.7,3.375,
129014,15/04/25,3,Bembidion,guttula,2.5,3.125,
129014,15/04/25,3,Bembidion,guttula,2.6,3.25,
143016,15/04/25,2,Bembidion,guttula,2.7,3.375,
143016,15/04/25,3,Bembidion,guttula,2.6,3.25,
143016,15/04/25,3,Bembidion,guttula,2.6,3.25,
143016,15/04/25,5,Bembidion,guttula,2.8,3.5,
66024,14/04/25,1,Bembidion,guttula,2.6,3.25,
66024,14/04/25,2,Bembidion,guttula,2.9,3.625,
66024,14/04/25,3,Bembidion,guttula,2.8,3.5,
66024,14/04/25,3,Bembidion,guttula,2.5,3.125,
66024,14/04/25,5,Bembidion,guttula,2.8,3.5,
66024,14/04/25,5,Bembidion,guttula,2.6,3.25,
583045,15/04/24,2,Bembidion,guttula,2.9,3.625,
162027,16/04/24,4,Bembidion,guttula,2.7,3.375,
100028,14/04/25,4,Oodes,helopioides,6.4,8,
24063,15/04/24,1,Oodes,helopioides,6.7,8.375,
129014,15/04/25,3,Bembidion,lunalatum,3.3,4.125,
129014,15/04/25,3,Bembidion,lunalatum,3.2,4,
66024,14/04/25,2,Bembidion,lunalatum,3.1,3.875,
66024,14/04/25,2,Bembidion,lunalatum,3.1,3.875,
24063,15/04/24,2,Amara,lunicollis,6.1,7.625,
66024,14/04/25,1,Bembidion,mannerheimi,2.7,3.375,
24063,15/04/24,2,Pterostichus,minor,6.2,7.75,
24063,15/04/24,4,Pterostichus,minor,6.7,8.375,
24063,15/04/24,5,Pterostichus,minor,6.6,8.25,
24063,15/04/24,3,Pterostichus,nigrita,8.6,10.75,
24063,15/04/24,3,Pterostichus,nigrita,9.1,11.375,
24063,15/04/24,5,Pterostichus,nigrita,9.2,11.5,
66024,14/04/25,3,Pterostichus,nigrita/rhaeticus,8.5,10.625,
162027,16/04/24,5,Pterostichus,nigrita/rhaeticus,9.2,11.5,
24063,15/04/24,4,Pterostichus,nigrita/rhaeticus,8.8,11,
24063,15/04/24,4,Pterostichus,nigrita/rhaeticus,8.8,11,
24063,15/04/24,4,Pterostichus,nigrita/rhaeticus,9.2,11.5,
24063,15/04/24,5,Pterostichus,nigrita/rhaeticus,8.4,10.5,
24063,15/04/24,5,Pterostichus,nigrita/rhaeticus,8.7,10.875,
100028,14/04/25,2,Amara,ovata,6.5,8.125,
16086,14/04/24,2,Loricera,pillicornis,5.6,7,
128006,16/04/25,3,Bembidion,properans,2.9,3.625,
128006,16/04/25,5,Bembidion,properans,3.1,3.875,
128006,16/04/25,5,Bembidion,properans,2.8,3.5,
130005,16/04/25,1,Bembidion,properans,3.1,3.875,
130005,16/04/25,3,Bembidion,properans,3,3.75,
130005,16/04/25,4,Bembidion,properans,3,3.75,
162027,16/04/24,1,Bembidion,properans,3.3,4.125,
162027,16/04/24,5,Bembidion,properans,3.1,3.875,
16086,14/04/24,2,Bembidion,properans,3.2,4,
16086,14/04/24,3,Bembidion,properans,3.1,3.875,
16086,14/04/24,3,Bembidion,properans,3.3,4.125,
16086,14/04/24,3,Bembidion,properans,3.1,3.875,
143016,15/04/25,2,Stomis,pumicatus,5.6,7,
66024,14/04/25,1,Pterostichus,strenuus,5.1,6.375,
66024,14/04/25,2,Pterostichus,strenuus,5.2,6.5,
66024,14/04/25,3,Pterostichus,strenuus,5.4,6.75,
24063,15/04/24,4,Pterostichus,strenuus,5,6.25,
16086,14/04/24,3,Pterostichus,strenuus,4.6,5.75,
143016,15/04/25,1,Pterostichus,vernalis,5.5,6.875,
100028,14/04/25,2,Poecilus,versicolor,7.9,9.875,
100028,14/04/25,2,Poecilus,versicolor,8.1,10.125,
100028,14/04/25,3,Poecilus,versicolor,8.5,10.625,
100028,14/04/25,4,Poecilus,versicolor,8.9,11.125,
143023,15/04/25,1,Poecilus,versicolor,10,12.5,
143023,15/04/25,1,Poecilus,versicolor,9.9,12.375,
143023,15/04/25,1,Poecilus,versicolor,9.7,12.125,
143023,15/04/25,1,Poecilus,versicolor,9.8,12.25,
143023,15/04/25,2,Poecilus,versicolor,9.9,12.375,
143023,15/04/25,5,Poecilus,versicolor,9.6,12,
143023,15/04/25,5,Poecilus,versicolor,9.4,11.75,
24063,15/04/24,2,Poecilus,versicolor,8.7,10.875,
100028,14/04/25,1,Staphylinidae,,1.1,1.375,
100028,14/04/25,1,Staphylinidae,,0.9,1.125,
100028,14/04/25,3,Staphylinidae,,1,1.25,
100028,14/04/25,3,Staphylinidae,,1.1,1.375,
100028,14/04/25,3,Staphylinidae,,0.9,1.125,
100028,14/04/25,3,Staphylinidae,,0.9,1.125,
100028,14/04/25,3,Staphylinidae,,11.6,14.5,
100028,14/04/25,4,Staphylinidae,,3.8,4.75,
100028,14/04/25,4,Staphylinidae,,1,1.25,
100028,14/04/25,4,Staphylinidae,,0.9,1.125,
100028,14/04/25,4,Staphylinidae,,12.5,15.625,
100028,14/04/25,5,Staphylinidae,,1,1.25,
100028,14/04/25,A,Staphylinidae,,2,2.5,
129014,15/04/25,1,Staphylinidae,,7,8.75,
129014,15/04/25,2,Staphylinidae,,2,2.5,
129014,15/04/25,2,Helophorus,,2,2.5,
129014,15/04/25,2,Helophorus,,2.3,2.875,
129014,15/04/25,2,Helophorus,,2.3,2.875,
129014,15/04/25,3,Staphylinidae,,1,1.25,
129014,15/04/25,3,Staphylinidae,,4,5,
129014,15/04/25,4,Staphylinidae,,4,5,
129014,15/04/25,5,Staphylinidae,,2.6,3.25,
128006,16/04/25,1,Staphylinidae,,11.2,14,
128006,16/04/25,1,Staphylinidae,,7,8.75,
128006,16/04/25,1,Staphylinidae,,6.3,7.875,
128006,16/04/25,1,Elateridae,,6,7.5,
128006,16/04/25,2,Staphylinidae,,1.7,2.125,
128006,16/04/25,2,Staphylinidae,,9,11.25,
128006,16/04/25,2,Staphylinidae,,3,3.75,
128006,16/04/25,2,Staphylinidae,,1.9,2.375,
128006,16/04/25,2,Staphylinidae,,2.6,3.25,
128006,16/04/25,2,Staphylinidae,,2.6,3.25,
128006,16/04/25,2,Staphylinidae,,8.2,10.25,
128006,16/04/25,2,Staphylinidae,,6,7.5,
128006,16/04/25,2,Staphylinidae,,7.8,9.75,
128006,16/04/25,2,Staphylinidae,,8.1,10.125,
128006,16/04/25,2,Staphylinidae,,3.9,4.875,
128006,16/04/25,2,Staphylinidae,,6.9,8.625,
128006,16/04/25,2,Staphylinidae,,9,11.25,
128006,16/04/25,2,Staphylinidae,,9.1,11.375,
128006,16/04/25,2,Staphylinidae,,6.6,8.25,
128006,16/04/25,2,Staphylinidae,,2.7,3.375,
128006,16/04/25,3,Staphylinidae,,2.5,3.125,Lichtelijk kapot
128006,16/04/25,3,Staphylinidae,,8.5,10.625,
128006,16/04/25,3,Staphylinidae,,10.6,13.25,
128006,16/04/25,3,Staphylinidae,,10.5,13.125,
128006,16/04/25,4,Staphylinidae,,6.5,8.125,
128006,16/04/25,4,Staphylinidae,,2.4,3,
128006,16/04/25,5,Elateridae,,5.5,6.875,
128006,16/04/25,5,Staphylinidae,,6.1,7.625,
128006,16/04/25,5,Staphylinidae,,3.4,4.25,
128006,16/04/25,5,Staphylinidae,,4.5,5.625,
128006,16/04/25,5,Staphylinidae,,2.2,2.75,
128006,16/04/25,5,Staphylinidae,,3.5,4.375,
128006,16/04/25,5,Staphylinidae,,10.2,12.75,
128006,16/04/25,5,Staphylinidae,,9.8,12.25,
130005,16/04/25,1,Cucujoidea,,3.9,4.875,
130005,16/04/25,1,Elateridae,,5.6,7,
130005,16/04/25,1,Staphylinidae,,1.2,1.5,
130005,16/04/25,1,Staphylinidae,,1.4,1.75,
130005,16/04/25,1,Staphylinidae,,2.1,2.625,
130005,16/04/25,2,Staphylinidae,,2.3,2.875,
130005,16/04/25,2,Staphylinidae,,1.8,2.25,
130005,16/04/25,2,Staphylinidae,,2.4,3,
130005,16/04/25,2,Staphylinidae,,7,8.75,"6,7 → 7,0 een segment mist"
