Location,MeadowID,Year,Date,Zeef,Gewicht zeef,Zeef+filter,Zeef+filter+monster,Gewicht monster (g),Notities schrapen,Notities wegen
Friesland,100028,2025,14/04/25,11,126.944,133.712,134.338,0.626,,
Friesland,66024,2025,14/04/25,10,129.344,135.606,139.8,4.194,,
Friesland,128006,2025,16/04/25,10,,135.254,147.226,11.972,,
Friesland,583045,2025,15/04/25,11,126.95,132.954,137.456,4.502,,
Friesland,130005,2025,16/04/25,1,128.652,134.97,140.588,5.618,,
Friesland,162027,2025,16/04/25,7,125.328,131.434,137.938,6.504,,
Friesland,143023,2025,15/04/25,6,125.104,131.268,133.206,1.938,,
Friesland,129014,2025,15/04/25,8,128.128,134.148,138.136,3.988,,
Friesland,24063,2025,15/04/25,5,126.85,133.102,136.634,3.532,,
Friesland,16086,2025,14/04/25,4,127.414,133.74,136.436,2.696,,
Friesland,143016,2025,15/04/25,9,127.93,133.948,136.504,2.556,,
