meadowID,area_ha
5029,17.37971
5030,13.34991
5042,13.10499
16082,11.44411
16086,1.96817
24068,1.69436
25006,3.71493
66014,2.81922
66024,0.7156
69004,4.74969
69045,4.42326
70005,2.59424
70006,2.52549
70021,3.61493
70042,4.21346
79020,5.04741
79024,3.243
100028,3.50224
114049,3.68076
114090,2.87886
114091,3.39005
114106,3.41782
116032,3.3447
128006,2.50525
129014,3.67722
129021,4.85969
129088,7.45637
130005,3.27862
133035,4.35806
142027,6.1625
143016,5.10103
143023,4.89768
149006,6.48207
162027,3.25489
162028,5.97711
564005,4.18996
564022,3.42288
564029,3.17241
568033,2.95608
575002,10.49779
575019,3.7639
575023,5.24735
583045,6.95659
5031,15.44933
5032,12.92816
5033,14.32137
5034,12.9361
5035,13.44495
5036,12.98948
5037,12.45683
5038,12.98809
5039,11.45528
5040,12.90206
5041,9.85531
5043,6.30916
5044,13.13414
5045,2.62929
5046,13.16169
5047,12.40703
5048,8.92017
5049,5.27386
5050,1.52617
6001,2.85902
6002,7.43632
6003,8.68502
6004,8.68884
6005,8.38705
6006,8.97742
6007,9.65053
6008,9.30173
6009,8.93972
6010,10.55068
6011,10.73498
6012,10.49056
6013,11.11769
6014,6.13281
6015,5.49367
6016,0.95215
6017,10.49711
6018,11.81921
6019,12.27969
6020,12.41687
6021,12.99411
6022,4.12896
6023,4.02669
6024,8.18674
6025,6.75949
6026,4.35525
6027,3.92569
6028,5.48233
6062,3.22629
6063,3.4075
6064,1.46405
6065,4.13856
7000,61.36819
12000,64.20848
14051,13.56383
14052,12.0912
14053,11.58849
14054,11.42732
14055,11.62799
14056,10.75142
14057,11.56703
14058,8.38353
14059,9.03798
14060,4.64471
16001,6.61247
16002,1.17298
16003,3.39176
16004,4.33044
16005,2.45799
16006,1.14412
16007,0.81525
16008,3.93092
16009,6.02441
16010,1.79426
16011,2.38734
16012,4.46332
16013,1.78341
16014,3.4444
16015,3.09897
16016,2.1017
16017,2.7309
16018,1.1772
16019,1.47426
16020,2.452
16021,4.27887
16022,1.87162
16023,1.27122
16024,1.12345
16025,1.54238
16027,2.46483
16028,4.94155
16029,4.59283
16030,4.05546
16031,5.15126
16032,5.58475
16033,4.48125
16034,2.52114
16035,2.70269
16036,4.32803
16037,3.6973
16038,4.65824
16039,1.25066
16040,3.30136
16041,11.28697
16042,0.91862
16043,1.53303
16044,2.40443
16045,5.38144
16046,10.21538
16047,2.23113
16048,2.71218
16049,2.67461
16050,5.2382
16051,3.06543
16052,3.88587
16053,4.79145
16054,2.79962
16055,6.58434
16056,5.50852
16057,3.48907
16058,5.64133
16059,2.01335
16060,2.55491
16061,5.33369
16062,7.37333
16063,2.96669
16064,1.18225
16065,3.56089
16066,6.00925
16067,3.48438
16068,7.60334
16069,2.64424
16070,1.52707
16071,2.84557
16072,0.85263
16073,3.31428
16074,4.6484
16076,4.0382
16077,6.35891
16078,7.31817
16079,3.15685
16080,9.31799
16081,7.12759
16083,5.53613
16084,1.0285
16085,1.13473
16087,3.67667
16088,1.67821
16089,2.233
16090,1.43896
16091,5.84287
16092,2.58028
16093,1.52257
16094,4.23256
16095,1.7789
16096,1.08418
16104,1.38229
16105,5.22138
16106,5.9503
16107,2.07849
16108,5.02403
16109,4.2316
16110,3.03827
16111,2.0333
16112,1.51134
16113,2.42168
16114,3.19989
16115,0.64866
16118,4.18837
16119,6.19985
16120,2.06761
16121,4.99134
16122,1.47685
16123,1.17857
16124,2.67376
16125,8.17473
16129,5.3267
16134,1.08629
16135,0.52419
16136,2.00912
16137,1.95398
16138,4.92676
16139,0.78917
16140,1.96929
16141,0.89222
16142,2.10323
16143,1.48078
16144,2.76871
16145,4.58143
16146,6.26653
16147,4.3532
16148,2.01928
16149,0.94854
16150,3.29028
17001,6.60463
17002,4.93228
17003,1.52743
17004,1.14383
17006,2.51833
17007,1.67303
17008,1.36989
17009,2.53823
17010,2.1426
17011,2.2149
17012,2.58455
17013,1.26976
17014,1.90009
17015,2.83246
17016,2.32948
17017,3.20727
17018,1.20374
17019,1.88525
17020,3.41386
17021,2.76645
17022,2.90594
17023,1.23904
17024,1.88505
17025,2.74988
17026,2.86889
17027,1.12993
17028,2.81894
17029,0.91161
17030,3.89715
17031,4.28955
17032,3.77874
17033,7.47214
17034,10.9697
17036,5.89984
17037,2.82796
17038,4.6333
17039,2.12691
17040,1.98385
17041,3.31337
17042,3.33619
17043,3.44205
17044,2.81326
17045,4.06795
17046,2.47778
17047,4.57852
17048,1.47381
17049,4.02137
17050,1.75108
17051,2.97096
17052,3.72636
17053,3.37133
17054,2.56027
17055,4.42028
17056,9.5197
17057,3.3144
17058,3.90493
17059,5.14085
17060,4.25394
17061,3.84582
17062,4.49135
17063,4.85014
17064,3.37872
17065,3.63701
17066,4.43475
17067,3.1377
17068,3.41814
17069,2.40925
17070,3.26363
17071,3.34547
17072,1.60538
17073,1.70359
17074,2.24063
17075,2.27923
17076,1.63169
17077,4.82896
17078,3.03442
17079,5.2526
17080,1.63566
17081,2.51846
17082,5.12225
17083,2.12326
17084,2.43998
17085,2.83084
17086,3.89837
17087,1.96017
17088,2.07548
17089,1.34397
17090,3.31557
17091,3.20225
17092,3.87849
17093,3.11737
17094,2.15537
17095,1.89651
17096,1.92866
17097,1.70879
17098,2.89341
17099,3.69135
17100,3.46619
17101,2.73355
17102,10.34576
17103,2.63198
17104,3.39297
17105,7.43132
17106,5.37441
17107,6.17956
17108,4.58391
17109,3.41289
17110,1.13922
17111,5.72496
17112,3.10463
17113,1.78674
17114,2.49993
17115,5.85865
17116,9.0722
17117,3.73872
17118,4.0822
17119,5.90245
17120,4.01458
17121,4.21382
17122,3.62263
17123,2.88657
17124,1.98837
17125,3.02333
17126,4.34917
17127,4.9972
17128,4.56724
17129,2.69527
17130,4.27645
17131,2.37797
17132,4.56125
17133,1.42626
