meadowID,polygonID,date,water_cov,in_LUI,birds,goose_poop,penetrometer,spring,penetro_constant,SM1_1,SM2_1,SM3_1,SM1_2,SM2_2,SM3_2,SM1_3,SM2_3,SM3_3,SM1_4,SM2_4,SM3_4,SM1_5,SM2_5,SM3_5,PP1_1,PP2_1,PP3_1,PP1_2,PP2_2,PP3_2,PP1_3,PP2_3,PP3_3,PP1_4,PP2_4,PP3_4,PP1_5,PP2_5,PP3_5,SR1_1,SR2_1,SR3_1,SR1_2,SR2_2,SR3_2,SR1_3,SR2_3,SR3_3,SR1_4,SR2_4,SR3_4,SR1_5,SR2_5,SR3_5,VH1_1,VH2_1,VH3_1,VH4_1,VH5_1,VH1_2,VH2_2,VH3_2,VH4_2,VH5_2,VH1_3,VH2_3,VH3_3,VH4_3,VH5_3,VH1_4,VH2_4,VH3_4,VH4_4,VH5_4,VH1_5,VH2_5,VH3_5,VH4_5,VH5_5,SM_mean,PP_mean,VH_mean,resistance_mean,SM_median,PP_median,VH_median,VH_stdev,resistance_median,Notes
5029,5029_01,4/17/2025,0.01,Extensive,Many,yes,0.50cm2,150,30,41.7,42.5,39.4,41.8,43.5,42.3,45.7,41.6,31.5,40.4,43.6,48.3,39.7,39.4,42.6,5.1,5.8,6.6,3.7,4.5,5,4.1,5.3,4.7,5.7,5.2,3.8,5.6,3.8,3.2,15.3,17.4,19.8,11.1,13.5,15,12.3,15.9,14.1,17.1,15.6,11.4,16.8,11.4,9.6,5.6,2.1,2.9,3.6,3.1,6.4,3.9,1.1,3.4,1.1,3.6,3.2,4.3,3.3,1.6,3.2,3.6,2.1,2.4,2.5,4.2,4.6,5.2,3.9,3.4,41.6,4.806666667,3.372,14.42,41.8,5,3.4,1.291162267,15,Goose Poo hard manure + ditch every 10 meters
5042,5042_01,4/14/2025,0,Extensive,Many,yes,0.50cm2,150,30,41.1,43.7,42.5,37.5,33.8,40.8,38,37,39.6,33.7,40.7,36.6,33.6,38.5,34,5.2,6.4,5.3,2.5,2.8,2.7,4,4.1,5.8,6.9,5,3.9,2.8,2.7,2.5,15.6,19.2,15.9,7.5,8.4,8.1,12,12.3,17.4,20.7,15,11.7,8.4,8.1,7.5,2.4,2.1,1.4,3.2,1.1,3,2.1,3.2,4,1.6,3.2,1.5,1.6,3.9,2.1,2.6,1.3,1.2,2.1,1.9,3.8,3.7,1.7,1.5,2.7,38.07333333,4.173333333,2.356,12.52,38,4,2.1,0.9165515079,12,"Goose poop, ditch every 10 meter next to the middle path"
24068,24068_01,4/14/2025,0,Extensive,No,no,0.50cm2,150,30,80.7,89,85.8,57.5,59.6,67.2,45.4,83.2,84.5,,,,,,,1.6,1.2,2.3,2.5,2.2,2.3,2.1,1.6,1.8,,,,,,,4.8,3.6,6.9,7.5,6.6,6.9,6.3,4.8,5.4,,,,,,,32.5,28.2,14.5,15.6,15.7,19.4,19.1,18.6,25.2,28.2,24.2,16.2,15.4,22.1,22.2,,,,,,,,,,,72.54444444,1.955555556,21.14,5.866666667,80.7,2.1,19.4,5.554894881,6.3,
24068,24068_02,4/14/2025,0,Extensive,No,no,0.50cm2,150,30,72.6,81.8,47.7,40.9,59.6,34.4,67.7,37.2,39.1,,,,,,,2.4,1.4,1.1,3,3.5,1.1,2,1.5,1.3,,,,,,,7.2,4.2,3.3,9,10.5,3.3,6,4.5,3.9,,,,,,,19.8,17.4,17.6,16.6,17.1,15.9,14.6,37.9,11.7,23,18.6,18.2,24.5,15.2,27.4,,,,,,,,,,,53.44444444,1.922222222,19.7,5.766666667,47.7,1.5,17.6,6.429285675,4.5,
25006,25006_01,4/7/2025,0,Extensive,Few,no,0.25cm2,150,60,52.8,57.7,52.1,53.5,51.6,56.9,54.3,55.8,52.7,,,,,,,2.8,1.2,1.6,4.2,3.5,2,1.6,2,2,,,,,,,16.8,7.2,9.6,25.2,21,12,9.6,12,10.56,,,,,,,7,2.6,6.4,5,7.6,13.5,10,3.5,8,4.6,8.5,3.5,4.3,2.1,8.3,,,,,,,,,,,54.15555556,2.322222222,6.326666667,13.93333333,53.5,2,6.4,3.105632364,12,Two buzzard swarming around/ Water on edge of field and ditches without water.
25006,25006_02,4/7/2025,0,Extensive,Few,no,0.50cm2,150,30,56.1,54,57.3,45,42.5,60.7,58.3,62,70.1,,,,,,,2,1.8,2.4,3,2.7,3.4,2.5,3.8,2.8,,,,,,,6,5.4,7.2,9,8.1,10.2,7.5,11.4,8.4,,,,,,,9.3,5.4,10.2,6.2,4.2,9,7.1,6.9,6.3,4.5,9.1,11,4.2,3.5,10.5,,,,,,,,,,,56.22222222,2.711111111,7.16,8.133333333,57.3,2.7,6.9,2.531177027,8.1,Two buzzard swarming around/ Water on edge of field and ditches without water.
66014,66014_01,4/14/2025,0.15,Extensive,Few,no,0.50cm2,150,30,56.5,66.4,63.4,71.3,78.9,75.1,67.2,62.5,71.8,,,,,,,3.9,5.2,5.5,1.6,1.7,1.2,1.3,3.4,5,,,,,,,11.7,15.6,16.5,4.8,5.1,3.6,3.9,10.2,15,,,,,,,11.6,9.6,7.9,12.9,8.7,23.9,18.6,12.1,7.6,8.3,10.4,11.6,11.7,6.7,5.6,,,,,,,,,,,68.12222222,3.2,11.14666667,9.6,67.2,3.4,10.4,4.732843704,10.2,Ditch every 10 meters with water
66014,66014_02,4/14/2025,0.01,Extensive,Many,no,0.50cm2,150,30,43.7,37.3,32.6,52.2,61.9,66.2,63.6,72.4,67,,,,,,,3.5,2.6,2.3,2.7,1.8,1.9,2.4,1.2,1.6,,,,,,,10.5,7.8,6.9,8.1,5.4,5.7,7.2,3.6,4.8,,,,,,,14.9,13.2,9.4,7.1,6.7,16.3,15.2,13.9,14.1,12.2,12.1,12.4,19.6,10.9,14.2,,,,,,,,,,,55.21111111,2.222222222,12.81333333,6.666666667,61.9,2.3,13.2,3.37593726,6.9,"Ditch every 10 meters with water, solid manure traces"
66024,66024_01,4/14/2025,0.01,Extensive,No,no,0.50cm2,150,30,80.6,82.3,80.6,86.7,80.2,65.7,60.4,47.5,54.4,,,,,,,2.8,2.1,3.6,3.2,2.6,1.9,3.2,2.4,3.8,,,,,,,8.4,6.3,10.8,9.6,7.8,5.7,9.6,7.2,11.4,,,,,,,17.5,18.2,44.3,42.2,14.2,12.1,15.8,16.2,20.6,16.4,25,18.2,16,16.1,10.2,,,,,,,,,,,70.93333333,2.844444444,20.2,8.533333333,80.2,2.8,16.4,9.961210483,8.4,Small wet diverse vegetation
69004,69004_02,4/11/2025,0.3,Extensive,Many,no,0.50cm2,150,30,89.1,83.6,86.1,92.6,92.4,92.9,75.8,83.1,74,,,,,,,2.4,2.1,1.2,1.8,2.4,3.6,2.5,2.3,1.8,,,,,,,7.2,6.3,3.6,5.4,7.2,10.8,7.5,6.9,5.4,,,,,,,15,18.2,15.9,14.5,18.2,10.4,9.8,10.2,9.7,14.1,8.2,9.8,15.9,11.8,13.9,,,,,,,,,,,85.51111111,2.233333333,13.04,6.7,86.1,2.3,13.9,3.26885738,6.9,Whole polygon super wet with watercovered pieces in them
