record_type,target,setting,value
method,gpi_class_knn_all_field,algorithm,k_nearest_neighbors
method,gpi_class_knn_all_field,k,7
method,gpi_class_knn_all_field,validation_style,leave_one_out
method,gpi_class_knn_all_field,label_source,observer_estimated_GPI
method,gpi_class_knn_all_field,vote_method,weighted_distance
method,gpi_class_knn_all_field,tie_break,smallest_mean_neighbor_distance
feature,gpi_class_knn_all_field,soil_resistance_std,min_max_standardized
feature,gpi_class_knn_all_field,soil_moisture_std,min_max_standardized
feature,gpi_class_knn_all_field,plant_richness_std,min_max_standardized
feature,gpi_class_knn_all_field,vegetation_height_std,min_max_standardized
class_count,gpi_class_knn_all_field,extensive,38
class_count,gpi_class_knn_all_field,mid,28
class_count,gpi_class_knn_all_field,intensive,17
method,gpi_class_rbc_soil_richness,algorithm,rule_based_classification
method,gpi_class_rbc_soil_richness,resistance_cutoff,0.345598
method,gpi_class_rbc_soil_richness,richness_cutoff,0.397727
method,gpi_class_rbc_soil_richness,input_variables,"soil_resistance_std, plant_richness_std"
method,gpi_class_rbc_soil_richness,threshold_source,initial_observer_class_iqr_ranges
method,gpi_class_rbc_soil_richness,threshold_scale,min_max_standardized
method,gpi_class_rbc_soil_richness,label_reference,observer_estimated_GPI
method,gpi_class_rbc_soil_richness,agreement_accuracy,0.60241
method,gpi_class_rbc_soil_richness,agreement_kappa,0.402226
class_iqr,gpi_class_rbc_soil_richness,extensive_resistance_q1,0.0535839
class_iqr,gpi_class_rbc_soil_richness,extensive_resistance_q3,0.1729297
class_iqr,gpi_class_rbc_soil_richness,extensive_richness_q1,0.4090909
class_iqr,gpi_class_rbc_soil_richness,extensive_richness_q3,0.7954545
class_iqr,gpi_class_rbc_soil_richness,mid_resistance_q1,0.3792624
class_iqr,gpi_class_rbc_soil_richness,mid_resistance_q3,0.6283925
class_iqr,gpi_class_rbc_soil_richness,mid_richness_q1,0.1818182
class_iqr,gpi_class_rbc_soil_richness,mid_richness_q3,0.3636364
class_iqr,gpi_class_rbc_soil_richness,intensive_resistance_q1,0.5182672
class_iqr,gpi_class_rbc_soil_richness,intensive_resistance_q3,0.8469033
class_iqr,gpi_class_rbc_soil_richness,intensive_richness_q1,0.1875000
class_iqr,gpi_class_rbc_soil_richness,intensive_richness_q3,0.3863636
class_count,gpi_class_rbc_soil_richness,extensive,29
class_count,gpi_class_rbc_soil_richness,mid,25
class_count,gpi_class_rbc_soil_richness,intensive,29
