best_target,best_predictors,compared_targets,compared_predictors,target,selection_stage,predictors,n_predictors,training_unit,validation_group,n_training_rows,n_training_polygons,selected_mtry,ntree,ntree_selection,cv_folds,cv_repeats,repeated_cv_predictions,overall_accuracy,kappa
gpi_class_knn_all_field,"s2rep, msi","gpi_class_knn_all_field, gpi_class_rbc_soil_richness","s2rep, ndvi, ndwi, savi, evi, msi, ndmi, mndwi",gpi_class_knn_all_field,1,s2rep,1,pixel,polygon_id,868,83,1,1000,250,5,20,17360,0.7717165898617512,0.6413453506155097
gpi_class_knn_all_field,"s2rep, msi","gpi_class_knn_all_field, gpi_class_rbc_soil_richness","s2rep, ndvi, ndwi, savi, evi, msi, ndmi, mndwi",gpi_class_knn_all_field,1,ndvi,1,pixel,polygon_id,868,83,1,1000,250,5,20,17360,0.657315668202765,0.4621471068595428
gpi_class_knn_all_field,"s2rep, msi","gpi_class_knn_all_field, gpi_class_rbc_soil_richness","s2rep, ndvi, ndwi, savi, evi, msi, ndmi, mndwi",gpi_class_knn_all_field,1,ndwi,1,pixel,polygon_id,868,83,1,1000,250,5,20,17360,0.6580645161290323,0.46160057914702884
gpi_class_knn_all_field,"s2rep, msi","gpi_class_knn_all_field, gpi_class_rbc_soil_richness","s2rep, ndvi, ndwi, savi, evi, msi, ndmi, mndwi",gpi_class_knn_all_field,1,savi,1,pixel,polygon_id,868,83,1,1000,250,5,20,17360,0.583294930875576,0.3480425896378726
gpi_class_knn_all_field,"s2rep, msi","gpi_class_knn_all_field, gpi_class_rbc_soil_richness","s2rep, ndvi, ndwi, savi, evi, msi, ndmi, mndwi",gpi_class_knn_all_field,1,evi,1,pixel,polygon_id,868,83,1,1000,250,5,20,17360,0.5826612903225806,0.3470342757529162
gpi_class_knn_all_field,"s2rep, msi","gpi_class_knn_all_field, gpi_class_rbc_soil_richness","s2rep, ndvi, ndwi, savi, evi, msi, ndmi, mndwi",gpi_class_knn_all_field,1,msi,1,pixel,polygon_id,868,83,1,1000,250,5,20,17360,0.6659562211981567,0.47978518111855967
gpi_class_knn_all_field,"s2rep, msi","gpi_class_knn_all_field, gpi_class_rbc_soil_richness","s2rep, ndvi, ndwi, savi, evi, msi, ndmi, mndwi",gpi_class_knn_all_field,1,ndmi,1,pixel,polygon_id,868,83,1,1000,250,5,20,17360,0.6149193548387096,0.3942872866490545
gpi_class_knn_all_field,"s2rep, msi","gpi_class_knn_all_field, gpi_class_rbc_soil_richness","s2rep, ndvi, ndwi, savi, evi, msi, ndmi, mndwi",gpi_class_knn_all_field,1,mndwi,1,pixel,polygon_id,868,83,1,1000,250,5,20,17360,0.47125576036866357,0.16988772075689113
gpi_class_knn_all_field,"s2rep, msi","gpi_class_knn_all_field, gpi_class_rbc_soil_richness","s2rep, ndvi, ndwi, savi, evi, msi, ndmi, mndwi",gpi_class_knn_all_field,2,"s2rep, ndvi",2,pixel,polygon_id,868,83,1,1000,250,5,20,17360,0.7940092165898618,0.6752165602756252
gpi_class_knn_all_field,"s2rep, msi","gpi_class_knn_all_field, gpi_class_rbc_soil_richness","s2rep, ndvi, ndwi, savi, evi, msi, ndmi, mndwi",gpi_class_knn_all_field,2,"s2rep, ndwi",2,pixel,polygon_id,868,83,1,1000,250,5,20,17360,0.7882488479262673,0.665988126275927
gpi_class_knn_all_field,"s2rep, msi","gpi_class_knn_all_field, gpi_class_rbc_soil_richness","s2rep, ndvi, ndwi, savi, evi, msi, ndmi, mndwi",gpi_class_knn_all_field,2,"s2rep, savi",2,pixel,polygon_id,868,83,1,1000,250,5,20,17360,0.8161866359447004,0.7106386464039711
gpi_class_knn_all_field,"s2rep, msi","gpi_class_knn_all_field, gpi_class_rbc_soil_richness","s2rep, ndvi, ndwi, savi, evi, msi, ndmi, mndwi",gpi_class_knn_all_field,2,"s2rep, evi",2,pixel,polygon_id,868,83,1,1000,250,5,20,17360,0.8016129032258065,0.6876651323273618
gpi_class_knn_all_field,"s2rep, msi","gpi_class_knn_all_field, gpi_class_rbc_soil_richness","s2rep, ndvi, ndwi, savi, evi, msi, ndmi, mndwi",gpi_class_knn_all_field,2,"s2rep, msi",2,pixel,polygon_id,868,83,1,1000,250,5,20,17360,0.8385944700460829,0.7461431468014259
gpi_class_knn_all_field,"s2rep, msi","gpi_class_knn_all_field, gpi_class_rbc_soil_richness","s2rep, ndvi, ndwi, savi, evi, msi, ndmi, mndwi",gpi_class_knn_all_field,2,"s2rep, ndmi",2,pixel,polygon_id,868,83,1,1000,250,5,20,17360,0.798963133640553,0.6840303991351963
gpi_class_knn_all_field,"s2rep, msi","gpi_class_knn_all_field, gpi_class_rbc_soil_richness","s2rep, ndvi, ndwi, savi, evi, msi, ndmi, mndwi",gpi_class_knn_all_field,2,"s2rep, mndwi",2,pixel,polygon_id,868,83,1,1000,250,5,20,17360,0.7951036866359447,0.6772984628312877
gpi_class_knn_all_field,"s2rep, msi","gpi_class_knn_all_field, gpi_class_rbc_soil_richness","s2rep, ndvi, ndwi, savi, evi, msi, ndmi, mndwi",gpi_class_rbc_soil_richness,1,s2rep,1,pixel,polygon_id,868,83,1,1000,250,5,20,17360,0.45247695852534564,0.1720557760528257
gpi_class_knn_all_field,"s2rep, msi","gpi_class_knn_all_field, gpi_class_rbc_soil_richness","s2rep, ndvi, ndwi, savi, evi, msi, ndmi, mndwi",gpi_class_rbc_soil_richness,1,ndvi,1,pixel,polygon_id,868,83,1,1000,250,5,20,17360,0.45034562211981566,0.17085585649167997
gpi_class_knn_all_field,"s2rep, msi","gpi_class_knn_all_field, gpi_class_rbc_soil_richness","s2rep, ndvi, ndwi, savi, evi, msi, ndmi, mndwi",gpi_class_rbc_soil_richness,1,ndwi,1,pixel,polygon_id,868,83,1,1000,250,5,20,17360,0.486463133640553,0.2264294104416065
gpi_class_knn_all_field,"s2rep, msi","gpi_class_knn_all_field, gpi_class_rbc_soil_richness","s2rep, ndvi, ndwi, savi, evi, msi, ndmi, mndwi",gpi_class_rbc_soil_richness,1,savi,1,pixel,polygon_id,868,83,1,1000,250,5,20,17360,0.4515552995391705,0.17143677261469556
gpi_class_knn_all_field,"s2rep, msi","gpi_class_knn_all_field, gpi_class_rbc_soil_richness","s2rep, ndvi, ndwi, savi, evi, msi, ndmi, mndwi",gpi_class_rbc_soil_richness,1,evi,1,pixel,polygon_id,868,83,1,1000,250,5,20,17360,0.47108294930875577,0.20179383604715906
gpi_class_knn_all_field,"s2rep, msi","gpi_class_knn_all_field, gpi_class_rbc_soil_richness","s2rep, ndvi, ndwi, savi, evi, msi, ndmi, mndwi",gpi_class_rbc_soil_richness,1,msi,1,pixel,polygon_id,868,83,1,1000,250,5,20,17360,0.43629032258064515,0.14822250538211593
gpi_class_knn_all_field,"s2rep, msi","gpi_class_knn_all_field, gpi_class_rbc_soil_richness","s2rep, ndvi, ndwi, savi, evi, msi, ndmi, mndwi",gpi_class_rbc_soil_richness,1,ndmi,1,pixel,polygon_id,868,83,1,1000,250,5,20,17360,0.43588709677419357,0.14697458974303138
gpi_class_knn_all_field,"s2rep, msi","gpi_class_knn_all_field, gpi_class_rbc_soil_richness","s2rep, ndvi, ndwi, savi, evi, msi, ndmi, mndwi",gpi_class_rbc_soil_richness,1,mndwi,1,pixel,polygon_id,868,83,1,1000,250,5,20,17360,0.4508064516129032,0.1679291575982421
gpi_class_knn_all_field,"s2rep, msi","gpi_class_knn_all_field, gpi_class_rbc_soil_richness","s2rep, ndvi, ndwi, savi, evi, msi, ndmi, mndwi",gpi_class_rbc_soil_richness,2,"ndwi, s2rep",2,pixel,polygon_id,868,83,1,1000,250,5,20,17360,0.4908410138248848,0.2304473650107385
gpi_class_knn_all_field,"s2rep, msi","gpi_class_knn_all_field, gpi_class_rbc_soil_richness","s2rep, ndvi, ndwi, savi, evi, msi, ndmi, mndwi",gpi_class_rbc_soil_richness,2,"ndwi, ndvi",2,pixel,polygon_id,868,83,1,1000,250,5,20,17360,0.504147465437788,0.24883412991613538
gpi_class_knn_all_field,"s2rep, msi","gpi_class_knn_all_field, gpi_class_rbc_soil_richness","s2rep, ndvi, ndwi, savi, evi, msi, ndmi, mndwi",gpi_class_rbc_soil_richness,2,"ndwi, savi",2,pixel,polygon_id,868,83,1,1000,250,5,20,17360,0.47574884792626726,0.20726719670273516
